date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:16	95857/95857	---M--	200	added ('OK')	image/jpeg	etag:%2217671-601df97567e84%22	https://interportglobal.com/img/bg/hazardous-cargo.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/hazardous-cargo.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:16	55919/55919	---M--	200	added ('OK')	image/jpeg	etag:%22da6f-601df9781f49d%22	https://interportglobal.com/img/bg/project-cargo.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/project-cargo.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:16	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2012:23:19%20GMT	https://interportglobal.com/img/bg/rfid-solutions.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/rfid-solutions.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:16	78212/78212	---M--	200	added ('OK')	image/jpeg	etag:%2213184-601df9787d0c2%22	https://interportglobal.com/img/bg/warehouse-management.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/warehouse-management.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:17	34203/34203	---M--	200	added ('OK')	image/jpeg	etag:%22859b-601df97856f53%22	https://interportglobal.com/img/bg/turnkey-projects.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/turnkey-projects.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:17	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2012:23:20%20GMT	https://interportglobal.com/img/bg/logistics-solutions.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/logistics-solutions.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:17	29626/29626	---M--	200	added ('OK')	image/jpeg	etag:%2273ba-601df9751bba5%22	https://interportglobal.com/img/bg/cargo-insurance.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/cargo-insurance.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:18	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2026%20Oct%202024%2012:23:21%20GMT	https://interportglobal.com/img/bg/container-freight-station.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/container-freight-station.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:18	61716/61716	---M--	200	added ('OK')	image/jpeg	etag:%22f114-601df9753a012%22	https://interportglobal.com/img/bg/custom-clearance.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/custom-clearance.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:19	45168/45168	---M--	200	added ('OK')	image/jpeg	etag:%22b070-601df975526bb%22	https://interportglobal.com/img/bg/freight-forwarding3.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/freight-forwarding3.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:19	49290/49290	---M--	200	added ('OK')	image/jpeg	etag:%22c08a-601df974f1bb4%22	https://interportglobal.com/img/bg/air-freight.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/air-freight.jpg	(from https://interportglobal.com/css/mystyle.css)
17:53:19	135505/135505	---M--	200	added ('OK')	image/jpeg	etag:%2221151-601df97807d93%22	https://interportglobal.com/img/bg/ocean-freight.jpg	C:/Users/prajw/Downloads/new%20website/interportglobal.com/img/bg/ocean-freight.jpg	(from https://interportglobal.com/css/mystyle.css)
